Day,station,day,speed,direction,gust,avgvect,gustvect
123,PPAC,124,3.621024,2,8.002016,"(3.619, 0.126)","(7.997, 0.279)"
124,PPAC,125,2.90576,83,8.002016,"(0.354, 2.884)","(0.975, 7.942)"
125,PPAC,126,4.783328,54,11.712448,"(2.812, 3.87)","(6.884, 9.476)"
126,PPAC,127,3.7104320000000004,22,9.61136,"(3.44, 1.39)","(8.911, 3.6)"
127,PPAC,128,4.112768,122,11.980672,"(-2.179, 3.488)","(-6.349, 10.16)"
128,PPAC,129,5.588,146,14.707616,"(-4.633, 3.125)","(-12.193, 8.224)"
129,PPAC,130,3.308096,172,8.314944,"(-3.276, 0.46)","(-8.234, 1.157)"
130,PPAC,131,2.68224,145,8.314944,"(-2.197, 1.538)","(-6.811, 4.769)"
131,PPAC,132,3.084576,140,8.806688,"(-2.363, 1.983)","(-6.746, 5.661)"
132,PPAC,133,2.68224,155,8.314944,"(-2.431, 1.134)","(-7.536, 3.514)"
133,PPAC,134,2.101088,356,6.884416,"(2.096, -0.147)","(6.868, -0.48)"
134,PPAC,135,2.414016,327,8.806688,"(2.025, -1.315)","(7.386, -4.796)"
135,PPAC,136,3.3975039999999996,304,10.416032,"(1.9, -2.817)","(5.825, -8.635)"
136,PPAC,137,2.592832,26,7.689088,"(2.33, 1.137)","(6.911, 3.371)"
137,PPAC,138,2.592832,102,6.7056,"(-0.539, 2.536)","(-1.394, 6.559)"
138,PPAC,139,3.084576,183,9.298432,"(-3.08, -0.161)","(-9.286, -0.487)"
139,PPAC,140,5.006848,215,14.886432,"(-4.101, -2.872)","(-12.194, -8.539)"
140,PPAC,141,2.995168,353,18.10512,"(2.973, -0.365)","(17.97, -2.206)"
141,PPAC,142,2.995168,352,10.684256,"(2.966, -0.417)","(10.58, -1.487)"
142,PPAC,143,3.486912,33,10.103104,"(2.924, 1.899)","(8.473, 5.503)"
143,PPAC,144,3.621024,95,8.49376,"(-0.316, 3.607)","(-0.74, 8.461)"
144,PPAC,145,4.202176,144,14.08176,"(-3.4, 2.47)","(-11.392, 8.277)"
145,PPAC,146,3.308096,177,8.002016,"(-3.304, 0.173)","(-7.991, 0.419)"
146,PPAC,147,4.202176,333,12.785344,"(3.744, -1.908)","(11.392, -5.804)"
147,PPAC,148,1.922272,183,5.9009279999999995,"(-1.92, -0.101)","(-5.893, -0.309)"
148,PPAC,149,4.202176,172,11.220704000000001,"(-4.161, 0.585)","(-11.112, 1.562)"
149,PPAC,150,4.783328,190,13.321792,"(-4.711, -0.831)","(-13.119, -2.313)"
150,PPAC,151,4.69392,213,12.51712,"(-3.937, -2.556)","(-10.498, -6.817)"
151,PPAC,152,2.503424,355,8.806688,"(2.494, -0.218)","(8.773, -0.768)"
152,PPAC,153,2.2799039999999997,337,9.61136,"(2.099, -0.891)","(8.847, -3.755)"
153,PPAC,154,3.218688,306,13.902944,"(1.892, -2.604)","(8.172, -11.248)"
154,PPAC,155,2.190496,57,8.806688,"(1.193, 1.837)","(4.796, 7.386)"
155,PPAC,156,2.414016,140,7.689088,"(-1.849, 1.552)","(-5.89, 4.942)"
156,PPAC,157,2.190496,222,12.785344,"(-1.628, -1.466)","(-9.501, -8.555)"
157,PPAC,158,3.308096,353,8.314944,"(3.283, -0.403)","(8.253, -1.013)"
158,PPAC,159,3.218688,46,14.707616,"(2.236, 2.315)","(10.217, 10.58)"
159,PPAC,160,2.68224,300,9.61136,"(1.341, -2.323)","(4.806, -8.324)"
160,PPAC,161,2.190496,272,9.119615999999999,"(0.076, -2.189)","(0.318, -9.114)"
161,PPAC,162,2.101088,190,6.884416,"(-2.069, -0.365)","(-6.78, -1.195)"
