Day,station,day,speed,direction,gust,avgvect,gustvect
85,SIPAC,86,2.592832,312,9.298432,"(1.735, -1.927)","(6.222, -6.91)"
86,SIPAC,87,1.1176,18,6.7056,"(1.063, 0.345)","(6.377, 2.072)"
87,SIPAC,88,2.90576,87,8.806688,"(0.152, 2.902)","(0.461, 8.795)"
88,SIPAC,89,4.291583999999999,162,15.512288000000002,"(-4.082, 1.326)","(-14.753, 4.794)"
89,SIPAC,90,4.380992,238,13.590015999999999,"(-2.322, -3.715)","(-7.202, -11.525)"
90,SIPAC,91,2.190496,286,8.806688,"(0.604, -2.106)","(2.427, -8.466)"
91,SIPAC,92,2.101088,220,11.220704000000001,"(-1.61, -1.351)","(-8.596, -7.213)"
92,SIPAC,93,1.296416,276,8.002016,"(0.136, -1.289)","(0.836, -7.958)"
93,SIPAC,94,1.385824,196,9.119615999999999,"(-1.332, -0.382)","(-8.766, -2.514)"
94,SIPAC,95,1.385824,123,5.9009279999999995,"(-0.755, 1.162)","(-3.214, 4.949)"
95,SIPAC,96,1.922272,238,9.119615999999999,"(-1.019, -1.63)","(-4.833, -7.734)"
96,SIPAC,97,2.592832,249,11.220704000000001,"(-0.929, -2.421)","(-4.021, -10.475)"
97,SIPAC,98,2.592832,254,11.488928,"(-0.715, -2.492)","(-3.167, -11.044)"
98,SIPAC,99,2.592832,279,11.980672,"(0.406, -2.561)","(1.874, -11.833)"
99,SIPAC,100,2.414016,131,9.879584000000001,"(-1.584, 1.822)","(-6.482, 7.456)"
100,SIPAC,101,2.8163519999999997,186,9.879584000000001,"(-2.801, -0.294)","(-9.825, -1.033)"
101,SIPAC,102,2.190496,145,7.689088,"(-1.794, 1.256)","(-6.299, 4.41)"
102,SIPAC,103,3.308096,187,16.808704,"(-3.283, -0.403)","(-16.683, -2.048)"
103,SIPAC,104,2.90576,251,12.785344,"(-0.946, -2.747)","(-4.163, -12.089)"
104,SIPAC,105,2.68224,192,12.785344,"(-2.624, -0.558)","(-12.506, -2.658)"
105,SIPAC,106,2.8163519999999997,307,10.907775999999998,"(1.695, -2.249)","(6.564, -8.711)"
106,SIPAC,107,3.308096,48,9.298432,"(2.214, 2.458)","(6.222, 6.91)"
107,SIPAC,108,3.7104320000000004,308,12.785344,"(2.284, -2.924)","(7.871, -10.075)"
108,SIPAC,109,2.414016,281,9.879584000000001,"(0.461, -2.37)","(1.885, -9.698)"
109,SIPAC,110,2.592832,143,12.2936,"(-2.071, 1.56)","(-9.818, 7.398)"
110,SIPAC,111,2.190496,201,12.2936,"(-2.045, -0.785)","(-11.477, -4.406)"
111,SIPAC,112,1.6987519999999998,148,8.002016,"(-1.441, 0.9)","(-6.786, 4.24)"
112,SIPAC,113,3.084576,185,11.712448,"(-3.073, -0.269)","(-11.668, -1.021)"
113,SIPAC,114,3.3975039999999996,191,13.590015999999999,"(-3.335, -0.648)","(-13.34, -2.593)"
114,SIPAC,115,2.190496,301,8.002016,"(1.128, -1.878)","(4.121, -6.859)"
115,SIPAC,116,2.68224,304,10.907775999999998,"(1.5, -2.224)","(6.1, -9.043)"
116,SIPAC,117,0.804672,264,7.197344,"(-0.084, -0.8)","(-0.752, -7.158)"
117,SIPAC,118,1.922272,79,6.7056,"(0.367, 1.887)","(1.279, 6.582)"
118,SIPAC,119,1.78816,102,7.689088,"(-0.372, 1.749)","(-1.599, 7.521)"
119,SIPAC,120,2.503424,168,10.103104,"(-2.449, 0.52)","(-9.882, 2.101)"
