WKT,Facility_ID_Hazus,Facility_Name,Address,City,Zip_Code,Contact_Person,Phone_Number,Replacement_Cost_Thousands,Comment,GlobalID,Shape_X,Shape_Y
"POINT (-86.2507469778755 39.7852910354339)",IN000144,Speedway Police Dept,1410 N Lynhurst Dr,Speedway,46224-6407, , ,1442, ,{BE0DF8F4-C012-47D3-BD25-A9AF9C0C221E},-86.2507469778755,39.7852910354339
"POINT (-87.8958895375449 37.9339277408522)",CO782037,Mt Vernon Police Dept,526 Main St,Mt Vernon,47620-1846, , ,1442,CountyApproved,{843572B6-21E7-4AAF-9B5D-85650AE64851},-87.8958895375449,37.9339277408522
"POINT (-85.8490159151596 40.0669104943159)",IN000130,Lapel Police Dept,13 E 7th St,Lapel,46051-0000, , ,1442, ,{7B0C685D-A408-479E-8715-E6A87478520D},-85.8490159151596,40.0669104943159
"POINT (-85.1200460085117 41.0648595261749)",IN000139,Fort Wayne Police Dept,1320 E Creighton Ave,Fort Wayne,46803-3502, , ,1442, ,{2F9CA5C6-B9C9-4283-B3F6-2EE627289B2B},-85.1200460085117,41.0648595261749
"POINT (-87.7805196808588 38.1720374377855)",CO782038,POSEYVILLE POLICE DEPARTMENT,77 N ST FRANCIS AVE,PoseyVille Polic Department,47620, , ,1442,CountyApproved,{EB01A005-BD7D-499D-8DE7-94E533D2DDEB},-87.7805196808588,38.1720374377855
"POINT (-86.9839590566294 39.8548790551201)",CO719721,Russellville Town Marshall,213 S Harrison,Russellville,46175-0000, , ,1442,CountyApproved,{96494690-0B63-48C5-AEC4-AA23BEBEAB24},-86.9839590566294,39.8548790551201
"POINT (-86.7534502736805 39.6716500360252)",CO719724,Fillmore Town Marshall,2 N Main St,Fillmore,46128, , ,1442,CountyApproved,{7A277E6A-7421-4C00-84B2-C975A8CA8FB5},-86.7534502736805,39.6716500360252
"POINT (-86.7945713035295 39.5098792168218)",CO719717,Cloverdale Police Dept,154 S Main St,Cloverdale,46120-8538, , ,1442,CountyApproved,{EFAE3249-2385-41BA-BF57-6CF9768FEE68},-86.7945713035295,39.5098792168218
"POINT (-86.8547105765566 39.6332595632781)",CO719718,Putnam County Sheriff's Ofc,13 Keightly Rd,Greencastle,46135-2227, , ,1442,CountyApproved,{8E5C2CE5-5F35-411C-8095-3B5BB49D8B10},-86.8547105765566,39.6332595632781
"POINT (-86.887771006233 39.5683692782744)",CO719719,Indiana State Police Dstrct 53,1927 W Us Highway 40,Greencastle,46135-8706, , ,1442,CountyApproved,{E27DAA1F-BE2D-4605-88AA-F92EF631AE91},-86.887771006233,39.5683692782744
